     887,-0.91
     888,-0.91
     889,-0.96
     890, 0.75
     891, 0.74
     892, 0.74
     893, 1.28
     894, 1.28
     895, 1.28
     896, 1.28
     897, 1.28
     898, 1.28
     899, 1.36
     900, 0.20
     901, 0.20
     902,-0.13
     903,-0.03
     904,-0.03
     905, 0.96
     906,-1.37
     907, 0.88
     908, 1.09
     909, 1.07
     910,-0.60
     911,-0.60
     912,-0.60
     913, 0.21
     914, 0.21
     915, 0.71
     916, 0.71
     917, 0.71
     918, 0.71
     919, 0.71
     920, 0.71
     921, 0.71
     922,-0.05
     923, 1.27
     924, 1.27
     925,-0.42
     926,-0.42
     927,-1.48
     928,-1.48
     929, 0.80
     930,-0.23
     931,-0.23
     932, 0.99
     933,-1.07
     934,-1.49
     935,-1.49
     936, 0.02
     937, 0.31
     938, 0.32
     939,-0.14
     940,-0.14
     941, 0.76
     942,-1.07
     943,-0.63
     944, 0.97
     945, 0.11
     946, 0.11
     947, 1.12
     948, 1.12
     949, 1.12
     950, 1.12
     951,-0.52
     952,-0.63
     953, 1.49
     954, 0.94
     955, 0.32
     956, 0.32
     957,-1.31
     958,-1.01
     959,-0.85
     960, 1.25
     961, 0.92
     962,-1.00
     963,-1.00
     964,-1.00
     965, 0.09
     966, 0.09
     967, 0.09
     968,-1.29
     969,-1.41
     970,-0.34
     971,-0.34
     972,-0.76
     973, 0.74
     974,-0.72
     975,-1.79
     976,-0.00
     977,-1.04
     978,-0.73
     979, 0.96
     980, 0.54
     981,-0.48
     982,-0.48
     983,-0.48
     984, 0.54
     985, 0.54
     986, 0.86
     987, 0.86
     988, 0.79
     989, 0.79
     990, 0.40
     991, 0.40
     992, 0.40
     993, 0.40
     994, 1.31
     995, 1.31
     996, 2.28
     997, 2.28
     998, 0.61
     999, 2.06
    1000, 0.45
    1001, 0.45
    1002,-1.03
    1003,-1.03
    1004,-1.03
    1005,-0.55
    1006, 0.83
    1007, 0.12
    1008, 0.12
    1009, 1.15
    1010,-1.12
    1011,-0.40
    1012,-0.81
    1013, 0.71
    1014, 2.36
    1015, 2.36
    1016, 0.88
    1017, 2.30
    1018, 0.30
    1019, 0.30
    1020, 0.30
    1021, 0.56
    1022, 0.56
    1023, 1.06
    1024, 1.06
    1025, 1.06
    1026, 0.86
    1027,-0.98
    1028,-0.98
    1029, 1.10
    1030, 0.44
    1031, 0.32
    1032, 0.32
    1033,-0.49
    1034,-0.49
    1035, 0.72
    1036, 0.72
    1037, 0.72
    1038, 0.72
    1039, 0.72
    1040, 0.89
    1041,-0.31
    1042,-0.31
    1043,-0.08
    1044,-0.08
    1045,-0.08
    1046,-0.08
    1047, 0.29
    1048, 0.29
    1049, 0.29
    1050,-0.76
    1051,-0.57
    1052,-0.57
    1053, 0.73
    1054, 0.84
    1055,-0.23
    1056,-0.23
    1057,-0.23
    1058, 0.15
    1059, 0.81
    1060, 1.04
    1061, 0.87
    1062, 0.04
    1063, 0.04
    1064,-0.86
    1065,-0.47
    1066, 0.11
    1067, 0.65
    1068, 0.65
    1069, 0.32
    1070,-0.43
    1071,-0.43
    1072, 1.89
    1073, 0.42
    1074,-0.28
    1075, 1.40
    1076, 1.40
    1077,-0.42
    1078, 0.85
    1079, 0.41
    1080, 0.41
    1081, 0.41
    1082, 0.41
    1083,-0.45
    1084,-0.45
    1085,-0.45
    1086, 1.40
    1087, 1.79
    1088, 1.79
    1089, 1.79
    1090, 1.40
    1091, 1.40
    1092,-0.40
    1093,-0.88
    1094,-0.27
    1095,-0.27
    1096,-0.27
    1097,-0.27
    1098,-1.40
    1099, 0.36
    1100, 0.32
    1101, 0.32
    1102, 0.43
    1103, 0.43
    1104, 0.35
    1105, 0.35
    1106, 0.50
    1107, 1.69
    1108, 1.27
    1109, 1.27
    1110, 1.27
    1111, 0.25
    1112, 0.25
    1113,-0.31
    1114, 0.75
    1115, 0.75
    1116, 0.75
    1117,-0.77
    1118,-0.77
    1119,-0.77
    1120,-0.40
    1121,-0.40
    1122, 0.51
    1123, 0.51
    1124, 0.51
    1125, 0.91
    1126,-0.38
    1127,-1.21
    1128,-1.21
    1129,-1.94
    1130,-0.63
    1131, 1.59
    1132, 0.01
    1133, 1.64
    1134, 0.44
    1135, 0.44
    1136, 0.44
    1137,-0.36
    1138,-0.36
    1139,-0.40
    1140, 0.82
    1141, 0.05
    1142, 0.78
    1143, 0.78
    1144,-0.31
    1145,-0.31
    1146,-0.31
    1147,-0.05
    1148,-0.21
    1149,-0.21
    1150,-0.21
    1151,-0.21
    1152,-0.21
    1153,-0.21
    1154, 0.59
    1155, 0.55
    1156, 0.17
    1157,-1.92
    1158,-1.92
    1159,-2.09
    1160,-1.61
    1161,-1.61
